Incident Type,Incident year,Reported Month,Region of Origin,Region of Incident,Country of Origin,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Migration route,Location of death,Information Source,Coordinates,UNSD Geographical Grouping
Incident,2015,April,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,0,"Federal highway 90, between Irapuato and Abasolo, Mexico",AM León (Mexico),"20.538573, -101.455532",Central America
Incident,2015,April,Southern Asia,Mediterranean,Afghanistan,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,Central Mediterranean,"under bus on ferry from Igoumenitsa, Greece to Bari, Italy",The Local.it,"41.15024178, 17.421188",Uncategorized
Incident,2015,April,Southern Asia,South-eastern Asia,Cambodia,5,0,5,8,2,1,2,Vehicle accident / death linked to hazardous transport,0,"Saipanthong-Kohloy road, Kohloy subdistrict, Panthong district, Chonburi province, Thailand","Rueng Lao Chao Nee, PPTV, Manager Online, Daily News, Komchudluek","13.1733676, 100.919564",South-eastern Asia
Incident,2015,April,Mixed,Europe,Unknown,14,0,14,36,0,0,0,Vehicle accident / death linked to hazardous transport,Western Balkans,"Pcinja, Veles, Macedonia",Macedonia Information Agency,"41.7164563, 21.772297",Southern Europe
Incident,2015,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.849017, -112.64445",Northern America
Incident,2015,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.8216, -112.41698",Northern America
Incident,2015,April,Southern Asia,Europe,Afghanistan,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,Western Balkans,"Near Skopje, Macedonia",Free Radio Europe  - reporet based on dpa ,"41.9973462, 21.427996",Southern Europe
Incident,2015,April,Central America,North America,Mexico,1,0,1,0,1,0,0,Vehicle accident / death linked to hazardous transport,US-Mexico border crossing,"Brownsville Ship Channel, Cameron County, Texas",Brownsville Herald,"25.9590963, -97.296038",Northern America
Incident,2015,April,Southern Asia,South-eastern Asia,Cambodia,7,0,7,9,0,0,0,Vehicle accident / death linked to hazardous transport,0,"Nong Yai district, Chonburi province, Thailand","INN, Voice Online, Post Today","13.1285787, 101.3658",South-eastern Asia
Incident,2015,April,Unknown,Western Africa,Unknown,1,0,1,0,0,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Sahara Desert, between Agadez, Niger and Tripoli, Libya",MHub,"19.075158, 8.024068",Western Africa
Incident,2015,April,Unknown,Northern Africa,Unknown,2,0,2,0,0,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Unspecified location, Libya",MHub,"26.239989, 12.913084",Northern Africa
Incident,2015,April,Unknown,Northern Africa,Unknown,1,0,1,0,0,0,0,Violence,Sahara Desert crossing,"Unspecified location, Libya",MHub,"26.239989, 12.913084",Northern Africa
Incident,2015,April,Unknown,Northern Africa,Unknown,1,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Unspecified location, Libya",MHub,"26.239989, 12.913084",Northern Africa
Incident,2015,April,Unknown,Northern Africa,Unknown,2,0,2,0,0,0,0,Violence,0,"Misrata, Libya",MHub,"32.31862536, 15.161054",Northern Africa
Incident,2015,May,South-eastern Asia,South-eastern Asia,Myanmar,36,0,36,0,0,0,0,Mixed or unknown,0,"Trafficking camps in Songkhla province, Thailand",The Guardian,"8.540132, 98.661975",South-eastern Asia
Incident,2015,May,Mixed,Mediterranean,Mixed/Unknown,3,0,3,31,0,0,0,Drowning,Central Mediterranean,"Off the coast of Beheira’s Edku city, Egypt",Ahram Online,"31.2996277, 30.292164",Uncategorized
Incident,2015,May,Unknown,Mediterranean,Unknown,10,0,10,0,0,0,0,Drowning,Central Mediterranean,Various - Central Med (off Libya),BBC,"31.59403522, 18.109551",Uncategorized
Incident,2015,May,Western Africa (P),Mediterranean,"Mali,Nigeria,Senegal,Unknown",5,41,46,91,0,46,0,Mixed or unknown,Central Mediterranean,Between Libya and Italy/Malta. Rescued by Maltese ship,IOM Rome also see BBC,"36.3916205, 14.349837",Uncategorized
Incident,2015,May,South-eastern Asia,South-eastern Asia,0,2,0,2,0,0,0,0,Mixed or unknown,0,"Trafficking camps in Phang Nga province, Thailand",The Guardian,"8.4501414, 98.525532",South-eastern Asia
Incident,2015,May,Latin America / Caribbean (P),Central America,Unknown,1,0,1,2,0,1,0,Violence,0,"Los Pinos, Mexicali, Mexico",El Vigia,"32.650514, -115.448746",Central America
Incident,2015,May,Southern Asia,Europe,Afghanistan,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,0,"Genas, France",Lyon Capitale,"45.732148, 4.999428",Western Europe
Incident,2015,May,Central America,North America,Mexico,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.9325, -110.462667",Northern America
Incident,2015,May,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Sudan,Mixed Migration Monitoring Mechanism Initative (4mi),"15.7398965, 25.702966",Northern Africa
Incident,2015,May,South-eastern Asia,South-eastern Asia,Myanmar,0,100,100,700,0,0,0,Violence,0,Unspecified location in the Andaman Sea,BBC,"11.2878883, 95.729982",South-eastern Asia
Incident,2015,May,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,0,0,Mixed or unknown,0,"Between Moyale, Ethiopia and Nairobi, Kenya",Mixed Migration Monitoring Mechanism Initative (4mi),"1.695679, 37.937683",Eastern Africa
Cumulative Incident,2015,May,South-eastern Asia,South-eastern Asia,Myanmar,0,10,10,0,0,0,0,Mixed or unknown,0,"Unspecified location, Andaman Sea",BBC,"11.83628223, 95.31373",South-eastern Asia
Incident,2015,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"All American Canal, Calexico CA",Imperial County Coroner's Office,"32.668685, -115.493137",Northern America
Incident,2015,May,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,0,"In back of truck, between Moyale, Ethiopia and Nairobi, Kenya",Mixed Migration Monitoring Mechanism Initative (4mi),"1.860474, 37.772888",Eastern Africa
Incident,2015,May,South-eastern Asia,South-eastern Asia,Bangladesh,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,0,"Indonesia, Cut Meutia Hospital",IOM SITREP from Martin Wyndham,"4.71878, 97.931785",South-eastern Asia
Incident,2015,May,Eastern Africa,Eastern Africa,Madagascar,8,0,8,8,5,3,0,Drowning,0,Nosy Be (Northern Madagascar),LINFO.re,"-13.3150186, 48.259261",Eastern Africa
Incident,2015,May,Central America,North America,El Salvador,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Recovered on Dawson Ranch, Texas, USA",Operation Identification - U. of Texas,"28.13171934, -100.181156",Northern America
Incident,2015,May,Eastern Africa,Mediterranean,Eritrea,1,0,1,0,0,1,1,Vehicle accident / death linked to hazardous transport,Central Mediterranean,Unknown - Central Med,IOM Rome ,"35.3099495, 13.479818",Uncategorized
Incident,2015,May,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,0,0,Mixed or unknown,0,"Kismayo, Somalia",Mixed Migration Monitoring Mechanism Initative (4mi),"-0.353821, 42.545288",Eastern Africa
Incident,2015,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.859417, -112.709806",Northern America
Incident,2015,May,Northern Africa,Mediterranean,Tunisia,5,0,5,49,0,0,0,Drowning,Central Mediterranean,"Teboulba, Tunisia",Business Stanard,"35.6439601, 10.946794",Uncategorized
Incident,2015,May,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",0,"Brega, Libya",Mixed Migration Monitoring Mechanism Initative (4mi),"30.410095, 19.569885",Northern Africa
Cumulative Incident,2015,May,South-eastern Asia,South-eastern Asia,"Bangladesh,Myanmar",47,0,47,0,0,0,0,Drowning,0,"Rakhine State, Myanmar",Press TV,"19.810093, 93.987843",South-eastern Asia
Incident,2015,May,Unknown,Mediterranean,Unknown,5,0,5,25,0,0,0,Drowning,Central Mediterranean,"off coast of Kafr el-Sheikh, Egypt",Le Figaro,"38.3243, 26.28878",Uncategorized
Cumulative Incident,2015,May,South-eastern Asia,South-eastern Asia,Myanmar,106,0,106,0,0,0,0,Violence,0,28 abandoned human trafficking camps scattered along a 50 km (30 mile) stretch of the Malaysia border with Thailand (Wang Kelian site),Various - Anadolu Agency,"6.672991, 100.178973",South-eastern Asia
Incident,2015,May,South-eastern Asia,South-eastern Asia,"Bangladesh,Myanmar",2,0,2,0,0,1,0,Mixed or unknown,0,Indonesia,IOM Indonesia,"13.498141, 89.487406",South-eastern Asia
Incident,2015,May,Unknown,Mediterranean,Unknown,1,0,1,0,0,1,1,Vehicle accident / death linked to hazardous transport,Western Mediterranean,"Rocks near the port of Melilla, Spain",Asociación Pro Derechos Humanos de Andalucía,"35.880463, -5.32093",Uncategorized
Incident,2015,May,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,0,"Ramos Arizpe. On way to Nuevo Laredo, Tamaulipas, Mexico",El Siglo,"27.4688428, -99.557493",Central America
Incident,2015,May,Caribbean,South America,Cuba,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,0,"Turbo, Urabá, Antioquía, Colombia",Diario de Cuba & El Colombiano,"8.086946369, -76.728381",South America
Incident,2015,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.9201, -111.309167",Northern America
Incident,2015,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.622703, -111.861717",Northern America
Cumulative Incident,2015,May,Latin America / Caribbean (P),Central America,Unknown,8,0,8,0,0,0,0,Drowning,US-Mexico border crossing,"Rio Grande, Tamaulipas, Mexico",Hoy Tamaulipas,"29.0854346, -99.549636",Central America
Incident,2015,May,Latin America / Caribbean (P),Central America,Unknown,0,1,1,0,0,1,0,Drowning,US-Mexico border crossing,"Rio Grande near Nuevo Laredo, Tamaulipas, Mexico",Hoy Tamaulipas,"27.469219, -99.549636",Central America
Incident,2015,May,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Violence,0,"La Rumorosa, Baja California, Mexico",El mexicano.com,"32.602038, -116.079468",Central America
Incident,2015,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.656983, -111.952283",Northern America
Split Incident,2015,May,Unknown,Mediterranean,"Côte d'Ivoire,Unknown",17,8,25,454,1,0,0,Mixed or unknown,Central Mediterranean,Unspecified location in the Central Mediterranean,IOM Rome,"35.05031439, 18.113847",Uncategorized
Incident,2015,June,Eastern Africa,Europe,Ethiopia,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,"A16 Highway at the entrance to the Eurotunnel, France","Calais Migrants Solidarity, Institute for Race Relations","50.923585, 1.81754",Western Europe
Incident,2015,May,Unknown,Western Africa,Unknown,6,0,6,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Sahara Desert, between Yantala, Niger and Tripoli, Libya",MHub,"23.8754102, 12.847448",Western Africa
Incident,2015,May,Unknown,Northern Africa,Unknown,2,0,2,0,0,0,0,Violence,Sahara Desert crossing,"Unspecified location, Libya",MHub,"26.239989, 12.913084",Northern Africa
Incident,2015,May,Unknown,Western Africa,Unknown,2,0,2,0,0,0,0,Violence,Sahara Desert crossing,"Sahara Desert, between Niamey, Niger and Tripoli, Libya",MHub,"19.7893571, 10.763283",Western Africa
Incident,2015,May,Unknown,Western Africa,Unknown,1,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Sahara Desert, between Agadez, Niger and Tripoli, Libya",MHub,"24.02673196, 13.154261",Western Africa
Incident,2015,May,Unknown,Western Africa,Unknown,1,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Sahara Desert, between Agadez, Niger and Tripoli, Libya",MHub,"24.02673196, 13.154261",Western Africa
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.352167, -110.89",Northern America
Cumulative Incident,2015,June,South-eastern Asia,South-eastern Asia,Myanmar,0,60,60,0,0,0,0,Mixed or unknown,0,Bay of Bengal and Andaman Sea,UNHCR,"10.010819, 94.999996",South-eastern Asia
Incident,2015,June,Central America,North America,Guatemala,1,0,1,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.7126, -111.75883",Northern America
Incident,2015,June,Central America,Central America,Honduras,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,0,"Ciudad Serdán near Puebla, Mexico",Munipicios,"18.971129, -97.443327",Central America
Incident,2015,June,Latin America / Caribbean (P),Central America,Unknown,3,0,3,117,0,0,0,Violence,0,"Sonora, Mexico",0,"29.3766625, -113.982346",Central America
Split Incident,2015,June,Western Africa,Northern Africa,"Central African Republic,Côte d'Ivoire,Guinea,Liberia,Mali,Nigeria,Senegal",16,0,16,0,1,15,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Between Arlit in Niger and Algeria. 67 and 70 km Northeast of Assamaka, Niger.",IOM Niger,"19.3877305, 5.714762",Northern Africa
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.8576, -112.7048",Northern America
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.027833, -112.469667",Northern America
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.06, -112.44",Northern America
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.820278, -111.064111",Northern America
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.33752, -112.38222",Northern America
Incident,2015,June,Western Africa,Central America,Ghana,5,0,5,0,0,0,0,Drowning,0,"Darien Gap, Río Turquesa, Bajo Chiquito, Panama",Ghana Web and Critica.com,"7.7387116, -77.986971",Central America
Incident,2015,June,Unknown,Western Africa,Unknown,15,0,15,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Near Dirkou, northeast of Agadez, Niger",IOM Niger,"19.000389, 12.89499",Western Africa
Incident,2015,June,Central America,Central America,Honduras,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,0,"Venustiano Carranza Avenue. Colony Rubén Jaramillo, Monterrey, Mexico",Noticiero Televisa,"25.695667, -100.329018",Central America
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.975633, -112.137383",Northern America
Incident,2015,June,Central America,North America,Mexico,1,0,1,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.36045, -109.053383",Northern America
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.276183, -112.860316",Northern America
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.4, -109.136767",Northern America
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.40105, -110.73266",Northern America
Incident,2015,June,Western Africa,Mediterranean,"Gambia,Guinea-Bissau",3,0,3,0,0,3,0,Drowning,Central Mediterranean,Unspecified location in the Central Mediterranean,IOM Rome,"34.9814784, 23.490954",Uncategorized
Incident,2015,June,Eastern Africa,Europe,Mozambique,1,0,1,1,0,1,0,Vehicle accident / death linked to hazardous transport,0,"Heathrow Airport, UK (en route from Johannesburg, South Africa)",The Guardian,"51.47115, -0.456487",Northern Europe
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.364767, -112.489183",Northern America
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.34122, -110.90572",Northern America
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,19,1,0,0,Violence,US-Mexico border crossing,"Encinitas, San Diego County, CA, USA",CTV News,"32.591521, -117.120962",Northern America
Incident,2015,June,Eastern Africa (P),Eastern Africa,Unknown,2,0,2,0,0,0,0,Sickness / lack of access to adequate healthcare,0,Mozambique,Mixed Migration Monitoring Mechanism Initative (4mi),"-18.563171, 35.002686",Eastern Africa
Incident,2015,June,Sub-Saharan Africa (P),Mediterranean,Unknown,0,22,22,0,0,0,0,Drowning,Western Mediterranean,"Boat left from the coast of Al Hoceima, Morocco. Search called off after 2 days with no sign",Asociación Pro Derechos Humanos de Andalucía,"35.352515, -3.976368",Uncategorized
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.01571, -112.95846",Northern America
Incident,2015,June,Central America,Central America,Guatemala,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Rio Bravo, (Chihuahua?), Mexico",Contacto,"26.0379097, -98.086004",Central America
Incident,2015,June,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,0,0,Violence,0,"Jigiga, Ethiopia",Mixed Migration Monitoring Mechanism Initative (4mi),"9.355286, 42.795288",Eastern Africa
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.25892, -113.08173",Northern America
Incident,2015,June,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Violence,Central Mediterranean,Off the coast of Libya,IOM Rome and Breitbart,"34.2345, 14.7437",Uncategorized
Incident,2015,June,Western Asia,Mediterranean,Syrian Arab Republic,6,0,6,66,1,0,0,Drowning,Eastern Mediterranean,"3.2 kilometers from the resort city of Bodrum, near Kara Ada, en route to Kos","Anadolu Agency and Today's Zaman, Action Group for Palestinian of Syria","37.0059, 27.4196",Uncategorized
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"All American Canal, Calexico CA, USA",Imperial County Coroner's Office,"32.668685, -115.493137",Northern America
Incident,2015,June,Western Asia,Mediterranean,Syrian Arab Republic,1,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,Central Mediterranean,Unspecified location between Egypt and Italy,Action Group for Palestinians of Syria,"35.1288385, 18.902834",Uncategorized
Incident,2015,June,Central America,Central America,"El Salvador,Guatemala",9,0,9,6,0,0,0,Vehicle accident / death linked to hazardous transport,0,"Municipality of Jalapa. About 55 km south east of Villahermosa, Tabasco while crossing the San Marcos River, Mexico",El Universo,"17.7212, -92.8139",Central America
Incident,2015,June,Eastern Africa,Europe,Ethiopia,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,"French entrance to Channel Tunnel, France","The Guardian, Institute for Race Relations","46.227638, 2.213749",Western Europe
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"4 miles south of Drew Road, Seeley, Imperial County, CA, USA",Imperial County Coroner's Office,"32.67292759, -115.687354",Northern America
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.95853, -112.671173",Northern America
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.12359, -111.28911",Northern America
Incident,2015,June,Eastern Africa,Europe,Eritrea,1,0,1,0,1,0,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,"A16 between Calais and Marck, France",Calais Migrant Solidarity,"49.6107, 2.10938",Western Europe
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Imperial County, CA",Entravision,"33.0249505, -115.845025",Northern America
Incident,2015,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.6337, -112.01128",Northern America
Incident,2015,June,Unknown,Western Africa,Unknown,1,0,1,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Sahara Desert between Agadez, Niger and Libya",MHub,"20.084053, 10.741789",Western Africa
Incident,2015,June,Unknown,Western Africa,Unknown,2,0,2,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Sahara Desert between Agadez, Niger and Libya",MHub,"15.71238986, 4.981831",Western Africa
Incident,2015,June,Unknown,Western Africa,Unknown,1,0,1,0,0,0,0,Violence,Sahara Desert crossing,"Sahara Desert between Agadez, Niger and Libya",MHub,"19.075158, 8.024068",Western Africa
Incident,2015,June,Unknown,Western Africa,Unknown,1,0,1,0,0,0,0,Violence,Sahara Desert crossing,"Sahara Desert between Agadez, Niger and Libya",MHub,"19.075158, 8.02407",Western Africa
Incident,2015,June,Unknown,Western Africa,Unknown,2,0,2,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Sahara Desert between Niamey, Niger and Subratah, Libya",MHub,"20.084053, 10.741789",Western Africa
Incident,2015,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.62835, -111.75955",Northern America
Incident,2015,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.59772, -111.89503",Northern America
Incident,2015,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.92525, -112.80985",Northern America
Incident,2015,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.172, -112.9105",Northern America
Incident,2015,July,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Sudanese border with Libya,Mixed Migration Monitoring Mechanism Initative (4mi),"16.121094, 32.310913",Northern Africa
Incident,2015,July,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,0,"in train car in Apizaco, Tlaxcala",Cinco Radio,"19.421016, -98.142549",Central America
Incident,2015,July,Central America,Central America,"Guatemala,Honduras",2,0,2,9,0,0,0,Vehicle accident / death linked to hazardous transport,0,"Highway near San Dionisio del Mar, San Francisco Ixhuatan, Istmo de Tehuantepec, Oaxaca, Mexico",El Universal,"16.357811, -94.758468",Central America
Incident,2015,July,Central America,Central America,"Guatemala,Honduras",2,0,2,0,0,0,0,Vehicle accident / death linked to hazardous transport,0,"General Hospital Ixtepec, Oaxaca, Mexico",El Heraldo Honduras,"17.1602655, -97.33124",Central America
